person_id,time_of_measurement,measured_download_speed_in_Mbps,did_test_complete_successfully
23486882,2019-06-30T23:53:58Z,60.030544,TRUE
21279226,2019-06-30T20:36:10Z,52.538376,TRUE
3881210,2019-06-30T22:54:37Z,100.05904,TRUE
1029498,2019-06-30T23:48:00Z,59.95052,TRUE
1347870,2019-06-30T01:31:54Z,65.643088,TRUE
2219464,2019-06-30T18:57:17Z,100.19817599999999,TRUE
1027953,2019-06-30T09:45:23Z,107.718064,TRUE
1028915,2019-06-30T23:24:26Z,60.44464,TRUE
4991186,2019-06-30T21:20:21Z,107.884768,TRUE
2273484,2019-06-30T18:25:25Z,32.102000000000004,TRUE
2273484,2019-06-30T21:25:24Z,32.060344,TRUE
24029378,2019-06-30T07:44:41Z,23.529,TRUE
1029442,2019-06-30T21:58:34Z,57.374584,TRUE
23116282,2019-06-30T19:47:57Z,44.108008,TRUE
23487054,2019-06-30T23:22:48Z,59.204552,TRUE
24029406,2019-06-30T14:28:57Z,19.83848,TRUE
24029406,2019-06-30T18:36:18Z,19.854447999999998,TRUE
2219340,2019-06-30T22:55:18Z,107.88591199999999,TRUE
2219496,2019-06-30T20:20:29Z,56.248328,TRUE
3880994,2019-06-30T23:32:29Z,60.133392,TRUE
23786670,2019-06-30T18:06:33Z,102.924312,TRUE
2521492,2019-06-30T18:43:13Z,107.81478399999999,TRUE
6986450,2019-06-30T15:26:51Z,107.229952,TRUE
1347840,2019-06-30T07:02:33Z,26.692648,TRUE
1347840,2019-06-30T19:02:35Z,26.639528,TRUE
11285762,2019-06-30T00:30:47Z,94.037392,TRUE
1347800,2019-06-30T19:16:49Z,18.861359999999998,TRUE
2219496,2019-06-30T21:20:39Z,59.204512,TRUE
5071790,2019-06-30T21:11:53Z,18.505288,TRUE
1347870,2019-06-30T07:31:33Z,63.320664,TRUE
1347870,2019-06-30T13:31:55Z,65.75419199999999,TRUE
1347870,2019-06-30T20:31:54Z,65.676152,TRUE
2219376,2019-06-30T22:12:24Z,107.65660799999999,TRUE
3881210,2019-06-30T13:51:55Z,105.898872,TRUE
3881210,2019-06-30T18:54:27Z,105.50375199999999,TRUE
3881226,2019-06-30T18:55:46Z,60.40752,TRUE
3881226,2019-06-30T20:55:54Z,59.398208,TRUE
6986338,2019-06-30T22:21:27Z,96.718768,TRUE
4441394,2019-06-30T21:35:04Z,47.69404,TRUE
2219464,2019-06-30T20:57:44Z,103.15685599999999,TRUE
1028915,2019-06-30T04:24:26Z,60.412535999999996,TRUE
23487054,2019-06-30T09:20:05Z,60.027367999999996,TRUE
11285730,2019-06-30T22:10:48Z,41.3426,TRUE
1029426,2019-06-30T07:09:34Z,60.559224,TRUE
1029426,2019-06-30T21:17:10Z,60.39524,TRUE
2211044,2019-06-30T21:06:55Z,107.637272,TRUE
1028827,2019-07-01T16:35:49Z,60.424768,TRUE
1028827,2019-07-01T23:38:32Z,60.42572,TRUE
23486882,2019-07-01T02:51:14Z,60.073536,TRUE
4441394,2019-07-01T22:35:05Z,47.691648,TRUE
5071790,2019-07-01T19:11:53Z,18.567672,TRUE
6986610,2019-07-01T22:24:37Z,107.27118399999999,TRUE
2219376,2019-07-01T00:09:49Z,107.826928,TRUE
24029506,2019-07-01T07:58:43Z,106.98612,TRUE
1029498,2019-07-01T22:48:01Z,59.950496,TRUE
24029378,2019-07-01T13:44:15Z,23.338127999999998,TRUE
24029378,2019-07-01T20:45:48Z,23.414008,TRUE
24029378,2019-07-01T20:50:54Z,23.469216,TRUE
2219464,2019-07-01T20:57:32Z,107.831024,TRUE
21279226,2019-07-01T18:36:08Z,52.452576,TRUE
5071914,2019-07-01T19:12:53Z,107.362352,TRUE
1196486,2019-07-01T22:23:47Z,60.376672,TRUE
2219382,2019-07-01T13:50:27Z,60.465191999999995,TRUE
3880970,2019-07-01T18:27:25Z,99.54294399999999,TRUE
3880970,2019-07-01T22:27:22Z,97.545568,TRUE
2219382,2019-07-01T22:53:10Z,60.494608,TRUE
6986422,2019-07-01T19:48:50Z,106.711648,TRUE
11285774,2019-07-01T00:27:36Z,55.598856,TRUE
1347838,2019-07-01T19:14:38Z,19.783192,TRUE
1347838,2019-07-01T22:14:39Z,19.06584,TRUE
1347838,2019-07-01T23:14:38Z,19.794696000000002,TRUE
1188468,2019-06-28T02:53:25Z,60.744144,TRUE
1188468,2019-06-28T08:53:25Z,60.417856,TRUE
11285738,2019-06-28T21:45:05Z,105.589272,TRUE
11285762,2019-06-28T22:30:57Z,77.053432,TRUE
23989234,2019-06-28T19:48:23Z,59.597632,TRUE
4991202,2019-06-28T13:42:10Z,59.291424,TRUE
21279226,2019-06-28T19:36:08Z,52.414176,TRUE
1028827,2019-06-28T20:38:31Z,60.323471999999995,TRUE
5071782,2019-06-28T18:31:32Z,60.140808,TRUE
5071782,2019-06-28T22:31:41Z,60.015816,TRUE
3881210,2019-06-28T19:54:26Z,105.813904,TRUE
3881210,2019-06-28T22:54:26Z,105.901888,TRUE
22865978,2019-06-28T22:54:35Z,105.768504,TRUE
4441394,2019-06-28T18:35:04Z,47.668664,TRUE
4441394,2019-06-28T22:35:04Z,47.65488,TRUE
23486970,2019-06-28T17:08:58Z,59.930088,TRUE
2211158,2019-06-28T20:22:51Z,54.570256,TRUE
1231668,2019-06-28T09:48:59Z,60.418327999999995,TRUE
2219340,2019-06-28T18:54:15Z,106.328544,TRUE
24029406,2019-06-28T23:36:44Z,19.831768,TRUE
1347840,2019-06-28T23:02:33Z,26.65108,TRUE
21279226,2019-06-30T16:33:28Z,51.535208,TRUE
6986610,2019-06-30T15:22:31Z,107.269232,TRUE
2219376,2019-06-30T20:12:23Z,107.83376799999999,TRUE
22865978,2019-06-30T04:51:54Z,105.865112,TRUE
3881226,2019-06-30T23:55:40Z,60.3998,TRUE
1028827,2019-06-30T22:38:32Z,60.421839999999996,TRUE
1027953,2019-06-30T03:45:10Z,107.864592,TRUE
1028915,2019-06-30T10:24:39Z,60.288855999999996,TRUE
23084186,2019-06-30T22:49:15Z,51.659504,TRUE
4191210,2019-06-30T19:16:06Z,35.541304,TRUE
4191210,2019-06-30T20:16:10Z,35.578447999999995,TRUE
6986482,2019-06-30T18:43:32Z,21.188176,TRUE
23989234,2019-06-30T20:47:57Z,59.518623999999996,TRUE
23989234,2019-06-30T23:48:08Z,59.368151999999995,TRUE
11285730,2019-06-30T06:11:17Z,42.655896,TRUE
23116282,2019-06-30T03:45:14Z,56.198592,TRUE
23116282,2019-06-30T22:48:07Z,35.504176,TRUE
2211184,2019-06-30T19:42:34Z,60.570375999999996,TRUE
