person_id,time_of_measurement,measured_upload_speed_in_Mbps,did_test_complete_successfully
11285774,2019-06-29T12:27:42Z,20.853808,TRUE
11285774,2019-06-29T20:29:12Z,20.83248,TRUE
1029426,2019-06-29T06:50:32Z,20.825295999999998,TRUE
1029426,2019-06-29T19:05:47Z,20.824127999999998,TRUE
1029426,2019-06-29T23:18:32Z,20.827664,TRUE
6986382,2019-06-29T23:43:20Z,39.49644,TRUE
24029490,2019-06-29T18:27:06Z,2.6958,TRUE
2219376,2019-06-29T19:12:56Z,39.895655999999995,TRUE
24029506,2019-06-29T21:00:00Z,31.389623999999998,TRUE
6986610,2019-06-29T03:23:04Z,39.596104,TRUE
3881210,2019-06-29T13:52:18Z,39.937872,TRUE
3881210,2019-06-29T18:55:00Z,40.046631999999995,TRUE
5071914,2019-06-29T15:10:39Z,39.714912,TRUE
22865978,2019-06-29T23:55:06Z,40.032736,TRUE
1028879,2019-06-29T18:15:03Z,20.955583999999998,TRUE
1028879,2019-06-29T23:15:12Z,20.987568,TRUE
21279226,2019-06-29T10:33:58Z,12.816688,TRUE
24028982,2019-06-29T12:58:43Z,2.918384,TRUE
24028982,2019-06-29T18:25:01Z,2.950784,TRUE
24028982,2019-06-29T20:19:55Z,2.902712,TRUE
5071782,2019-06-29T23:32:17Z,20.986103999999997,TRUE
1028947,2019-06-29T22:13:45Z,8.278984,TRUE
3880970,2019-07-01T08:25:14Z,39.610368,TRUE
2219382,2019-07-01T13:51:05Z,19.97308,TRUE
23487042,2019-07-01T19:31:08Z,39.930008,TRUE
24028982,2019-07-01T01:18:37Z,2.889272,TRUE
21279226,2019-07-01T18:36:43Z,12.871559999999999,TRUE
5071914,2019-07-01T15:10:53Z,39.707184,TRUE
2219464,2019-07-01T21:57:21Z,39.858191999999995,TRUE
23486882,2019-07-01T08:52:04Z,20.948952,TRUE
3881210,2019-07-01T20:55:05Z,39.993328,TRUE
3881210,2019-07-01T23:55:00Z,40.047447999999996,TRUE
24029378,2019-07-01T19:45:52Z,2.801776,TRUE
1027953,2019-07-01T23:48:21Z,39.653936,TRUE
1029498,2019-07-01T19:48:34Z,20.831543999999997,TRUE
22865978,2019-07-01T23:55:05Z,40.035016,TRUE
1028827,2019-07-01T21:39:03Z,20.559839999999998,TRUE
21854442,2019-07-01T04:54:10Z,39.947704,TRUE
21854442,2019-07-01T23:54:15Z,34.512616,TRUE
21854442,2019-07-01T10:53:51Z,39.919855999999996,TRUE
1231656,2019-07-01T19:33:09Z,20.73752,TRUE
1231656,2019-07-01T20:33:16Z,20.764632,TRUE
1347840,2019-07-01T22:03:23Z,2.938296,TRUE
1188468,2019-06-29T19:57:03Z,20.70888,TRUE
23116282,2019-06-29T22:48:28Z,19.486904,TRUE
1188468,2019-06-29T14:53:56Z,20.760832,TRUE
6986482,2019-06-29T06:41:18Z,16.191432,TRUE
4114290,2019-06-29T03:38:40Z,39.458072,TRUE
21854474,2019-06-29T14:26:11Z,20.808543999999998,TRUE
21854474,2019-06-29T18:26:06Z,20.6476,TRUE
1028001,2019-06-29T23:28:59Z,39.771592,TRUE
2521540,2019-06-29T03:01:12Z,10.332455999999999,TRUE
2521540,2019-06-29T21:01:10Z,10.41244,TRUE
1347838,2019-06-29T14:12:32Z,2.548344,TRUE
23116282,2019-06-29T03:46:32Z,20.204031999999998,TRUE
23084186,2019-06-29T19:49:38Z,19.951055999999998,TRUE
4719126,2019-06-29T13:28:22Z,39.935368,TRUE
11285762,2019-06-29T00:31:36Z,39.768167999999996,TRUE
2211184,2019-06-29T13:43:26Z,20.95724,TRUE
2211184,2019-06-29T18:43:26Z,20.976792,TRUE
2211184,2019-06-29T20:43:27Z,20.939799999999998,TRUE
1231656,2019-06-29T01:18:18Z,20.72952,TRUE
1231656,2019-06-29T20:43:08Z,20.76932,TRUE
1231656,2019-06-29T23:38:41Z,20.814439999999998,TRUE
1354462,2019-06-29T20:49:50Z,20.630575999999998,TRUE
1028001,2019-06-29T10:28:56Z,39.721152,TRUE
4991202,2019-06-29T07:45:43Z,20.642608,TRUE
4991202,2019-06-29T20:42:52Z,20.60772,TRUE
23989234,2019-06-29T12:48:55Z,20.956808,TRUE
1347838,2019-06-29T08:12:32Z,2.541432,TRUE
1028947,2019-06-29T03:11:41Z,8.196152,TRUE
2211104,2019-06-29T22:42:30Z,20.9692,TRUE
2211104,2019-06-29T23:42:27Z,20.985248,TRUE
4719126,2019-06-29T01:28:19Z,39.909735999999995,TRUE
4719126,2019-06-29T07:28:25Z,38.579679999999996,TRUE
4719126,2019-06-29T21:28:28Z,39.833256,TRUE
4191210,2019-06-29T13:14:00Z,20.940528,TRUE
2211184,2019-06-29T23:43:26Z,20.951256,TRUE
1188488,2019-06-29T01:21:31Z,7.838903999999999,TRUE
1188488,2019-06-29T20:21:35Z,7.701112,TRUE
2521540,2019-06-29T19:01:12Z,10.413103999999999,TRUE
23487054,2019-06-29T15:20:38Z,20.677536,TRUE
21279190,2019-06-29T22:31:51Z,20.616168,TRUE
1347840,2019-06-29T01:03:18Z,2.929024,TRUE
23786670,2019-06-29T18:07:04Z,36.239688,TRUE
2219340,2019-06-29T22:57:05Z,39.945375999999996,TRUE
1188410,2019-06-29T02:35:34Z,20.82196,TRUE
6986382,2019-07-01T22:44:18Z,29.737983999999997,TRUE
1027891,2019-07-01T23:38:25Z,2.927424,TRUE
24028982,2019-07-01T23:13:53Z,2.8991439999999997,TRUE
1028839,2019-07-01T11:43:57Z,16.670727999999997,TRUE
1028839,2019-07-01T20:46:10Z,16.684024,TRUE
1028839,2019-07-01T23:46:07Z,16.67584,TRUE
21854474,2019-07-01T08:26:22Z,20.82308,TRUE
23989234,2019-07-01T19:48:41Z,20.990703999999997,TRUE
6986482,2019-07-01T12:41:39Z,15.921719999999999,TRUE
1028947,2019-07-01T18:14:09Z,8.237207999999999,TRUE
1028947,2019-07-01T23:13:43Z,8.220144,TRUE
24028866,2019-07-01T22:01:56Z,6.6669599999999996,TRUE
23786670,2019-07-01T19:07:23Z,31.629264,TRUE
1231668,2019-07-01T03:49:29Z,20.860239999999997,TRUE
1347800,2019-07-01T03:14:40Z,2.91248,TRUE
1347800,2019-07-01T23:17:22Z,2.843448,TRUE
1188410,2019-07-01T02:35:34Z,20.80616,TRUE
1231668,2019-07-01T21:52:12Z,20.977664,TRUE
24028866,2019-07-01T00:02:30Z,6.748816,TRUE
2219340,2019-07-01T07:56:16Z,39.955208,TRUE
2219340,2019-07-01T18:55:35Z,39.631768,TRUE
2261014,2019-07-01T20:34:08Z,20.866352,TRUE
2261014,2019-07-01T07:31:27Z,20.864383999999998,TRUE
4406790,2019-07-01T09:36:46Z,7.450088,TRUE
1231668,2019-07-01T15:49:27Z,20.872256,TRUE
4406790,2019-07-01T23:39:17Z,7.416119999999999,TRUE
6986450,2019-07-01T23:30:04Z,39.19408,TRUE
6986450,2019-07-01T09:27:24Z,39.019984,TRUE
6986450,2019-07-01T20:30:07Z,39.216224,TRUE
1028001,2019-07-01T04:29:02Z,39.713696,TRUE
1028001,2019-07-01T10:28:57Z,39.712199999999996,TRUE
